"","x","y","z","omega","katsse","akev","possture"
"514","7","-1497","444","22.749934","0","0","walk"
"515","17","-1487","467","8.745238","0","0","walk"
"516","415","-1479","511","23.515383","0","0","walk"
"517","371","-1377","542","8.596267","0","0","walk"
"518","147","-1431","575","1.240429","0","0","walk"
"519","103","-1456","444","13.628521","0","0","walk"
"520","100","-1424","755","24.183823","0","0","none"
"521","1151","-461","252","45.611741","0","0","walk"
"522","1136","-409","191","0","0","0","sits down"
"523","1139","-402","185","0","0","0","sits down"
"524","1139","-400","176","0","0","0","sits down"
"525","1135","-399","175","0.422123","0","0","sits down"
